All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     smart_nanopore_10
# misassemblies              95               
    # relocations            95               
    # translocations         0                
    # inversions             0                
# misassembled contigs       39               
Misassembled contigs length  900541           
# local misassemblies        62               
# mismatches                 2240             
# indels                     4371             
    # short indels           4303             
    # long indels            68               
Indels length                6013             
