#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_18_length_12121_cov_14.008754:4947-7775|-   -            943 6419                 -            944         0 1606.6  21.6   1   1         0         0 1606.4  21.6     3   942     1   942     1   942 0.99 NODE_18_length_12121_cov_14.008754_6 # 4947 # 7775 # -1 # ID=18_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.305
NODE_8_length_30985_cov_8.604803:21857-22894|+   -            346 6419                 -            944     4e-14   46.6   0.9   1   2    0.0032      0.27    4.1   0.2   626   655    23    52    18    87 0.82 NODE_8_length_30985_cov_8.604803_24 # 21857 # 22894 # 1 # ID=8_24;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.278
NODE_8_length_30985_cov_8.604803:21857-22894|+   -            346 6419                 -            944     4e-14   46.6   0.9   2   2   2.1e-14   1.8e-12   41.1   0.0   810   895   179   261   163   288 0.88 NODE_8_length_30985_cov_8.604803_24 # 21857 # 22894 # 1 # ID=8_24;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.278
NODE_8_length_30985_cov_8.604803:21069-21866|+   -            266 6419                 -            944   1.5e-11   38.1   3.0   1   2   1.1e-05   0.00092   12.3   0.2   621   670    14    61     4   100 0.66 NODE_8_length_30985_cov_8.604803_23 # 21069 # 21866 # 1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.273
NODE_8_length_30985_cov_8.604803:21069-21866|+   -            266 6419                 -            944   1.5e-11   38.1   3.0   2   2   5.5e-10   4.7e-08   26.5   0.3   473   590   120   229   105   236 0.75 NODE_8_length_30985_cov_8.604803_23 # 21069 # 21866 # 1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.273
NODE_16_length_15078_cov_9.801084:8520-9491|+    -            324 6419                 -            944   1.1e-10   35.2   3.6   1   2   1.4e-05    0.0012   12.0   0.8   622   654   105   137    79   156 0.72 NODE_16_length_15078_cov_9.801084_2 # 8520 # 9491 # 1 # ID=16_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_16_length_15078_cov_9.801084:8520-9491|+    -            324 6419                 -            944   1.1e-10   35.2   3.6   2   2   3.5e-09     3e-07   23.9   0.1   830   906   226   300   169   303 0.87 NODE_16_length_15078_cov_9.801084_2 # 8520 # 9491 # 1 # ID=16_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_21_length_10748_cov_24.708596:6884-8050|+   -            389 6419                 -            944     1e-09   32.0   1.8   1   2    0.0029      0.25    4.3   0.2   627   659    66    97    57   174 0.65 NODE_21_length_10748_cov_24.708596_6 # 6884 # 8050 # 1 # ID=21_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.303
NODE_21_length_10748_cov_24.708596:6884-8050|+   -            389 6419                 -            944     1e-09   32.0   1.8   2   2   3.2e-10   2.8e-08   27.3   0.1   830   934   197   295   170   302 0.88 NODE_21_length_10748_cov_24.708596_6 # 6884 # 8050 # 1 # ID=21_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.303
NODE_12_length_18973_cov_26.749390:13504-14247|+ -            248 6419                 -            944   3.6e-09   30.2   2.6   1   2   2.3e-06    0.0002   14.5   0.1   626   668    21    63    11    91 0.77 NODE_12_length_18973_cov_26.749390_10 # 13504 # 14247 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.239
NODE_12_length_18973_cov_26.749390:13504-14247|+ -            248 6419                 -            944   3.6e-09   30.2   2.6   2   2   7.9e-07   6.8e-05   16.1   0.2   824   899   141   214   117   231 0.89 NODE_12_length_18973_cov_26.749390_10 # 13504 # 14247 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.239
